cell,pre_eps,post_eps,n_pool,n_pre_reps,n_post_reps,oracle_best
flexible_arm_0_1em8,0.05,0.0001,50,38,23,0.5119776911501235
flexible_arm_0_1em8,0.05,0.001,50,38,23,0.5119776911501235
flexible_arm_0_1em8,0.05,0.005,50,38,23,0.5119776911501235
flexible_arm_0_1em8,0.05,0.01,50,38,23,0.5119776911501235
flexible_arm_0_1em8,0.05,0.02,50,38,23,0.5119776911501235
flexible_arm_0_1em8,0.05,0.05,50,38,23,0.5119776911501235
daisy_mamil4_8_1em8,0.0001,0.0001,38,38,19,0.17781575079745027
daisy_mamil4_8_1em8,0.0001,0.001,38,38,19,0.17781575079745027
daisy_mamil4_8_1em8,0.0001,0.005,38,38,19,0.17781575079745027
daisy_mamil4_8_1em8,0.0001,0.01,38,38,18,0.17781575079745027
daisy_mamil4_8_1em8,0.0001,0.02,38,38,16,0.17781575079745027
daisy_mamil4_8_1em8,0.0001,0.05,38,38,12,0.17781575079745027
daisy_mamil4_8_1em8,0.001,0.0001,38,38,19,0.17781575079745027
daisy_mamil4_8_1em8,0.001,0.001,38,38,19,0.17781575079745027
daisy_mamil4_8_1em8,0.001,0.005,38,38,19,0.17781575079745027
daisy_mamil4_8_1em8,0.001,0.01,38,38,18,0.17781575079745027
daisy_mamil4_8_1em8,0.001,0.02,38,38,16,0.17781575079745027
daisy_mamil4_8_1em8,0.001,0.05,38,38,12,0.17781575079745027
daisy_mamil4_8_1em8,0.005,0.0001,38,38,19,0.17781575079745027
daisy_mamil4_8_1em8,0.005,0.001,38,38,19,0.17781575079745027
daisy_mamil4_8_1em8,0.005,0.005,38,38,19,0.17781575079745027
daisy_mamil4_8_1em8,0.005,0.01,38,38,18,0.17781575079745027
daisy_mamil4_8_1em8,0.005,0.02,38,38,16,0.17781575079745027
daisy_mamil4_8_1em8,0.005,0.05,38,38,12,0.17781575079745027
daisy_mamil4_8_1em8,0.01,0.0001,38,38,19,0.17781575079745027
daisy_mamil4_8_1em8,0.01,0.001,38,38,19,0.17781575079745027
daisy_mamil4_8_1em8,0.01,0.005,38,38,19,0.17781575079745027
daisy_mamil4_8_1em8,0.01,0.01,38,38,18,0.17781575079745027
daisy_mamil4_8_1em8,0.01,0.02,38,38,16,0.17781575079745027
daisy_mamil4_8_1em8,0.01,0.05,38,38,12,0.17781575079745027
daisy_mamil4_8_1em8,0.02,0.0001,38,36,19,0.17781575079745027
daisy_mamil4_8_1em8,0.02,0.001,38,36,19,0.17781575079745027
daisy_mamil4_8_1em8,0.02,0.005,38,36,19,0.17781575079745027
daisy_mamil4_8_1em8,0.02,0.01,38,36,18,0.17781575079745027
daisy_mamil4_8_1em8,0.02,0.02,38,36,16,0.17781575079745027
daisy_mamil4_8_1em8,0.02,0.05,38,36,12,0.17781575079745027
daisy_mamil4_8_1em8,0.05,0.0001,38,26,16,0.17781575079745027
daisy_mamil4_8_1em8,0.05,0.001,38,26,16,0.17781575079745027
daisy_mamil4_8_1em8,0.05,0.005,38,26,16,0.17781575079745027
daisy_mamil4_8_1em8,0.05,0.01,38,26,16,0.17781575079745027
daisy_mamil4_8_1em8,0.05,0.02,38,26,15,0.17781575079745027
daisy_mamil4_8_1em8,0.05,0.05,38,26,11,0.17781575079745027
seir_3_0,0.0001,0.0001,22,2,2,5.572413875361355e-11
seir_3_0,0.0001,0.001,22,2,2,5.572413875361355e-11
seir_3_0,0.0001,0.005,22,2,2,5.572413875361355e-11
seir_3_0,0.0001,0.01,22,2,2,5.572413875361355e-11
seir_3_0,0.0001,0.02,22,2,2,5.572413875361355e-11
seir_3_0,0.0001,0.05,22,2,2,5.572413875361355e-11
seir_3_0,0.001,0.0001,22,2,2,5.572413875361355e-11
seir_3_0,0.001,0.001,22,2,2,5.572413875361355e-11
seir_3_0,0.001,0.005,22,2,2,5.572413875361355e-11
seir_3_0,0.001,0.01,22,2,2,5.572413875361355e-11
seir_3_0,0.001,0.02,22,2,2,5.572413875361355e-11
seir_3_0,0.001,0.05,22,2,2,5.572413875361355e-11
seir_3_0,0.005,0.0001,22,2,2,5.572413875361355e-11
seir_3_0,0.005,0.001,22,2,2,5.572413875361355e-11
seir_3_0,0.005,0.005,22,2,2,5.572413875361355e-11
seir_3_0,0.005,0.01,22,2,2,5.572413875361355e-11
seir_3_0,0.005,0.02,22,2,2,5.572413875361355e-11
seir_3_0,0.005,0.05,22,2,2,5.572413875361355e-11
seir_3_0,0.01,0.0001,22,2,2,5.572413875361355e-11
seir_3_0,0.01,0.001,22,2,2,5.572413875361355e-11
seir_3_0,0.01,0.005,22,2,2,5.572413875361355e-11
seir_3_0,0.01,0.01,22,2,2,5.572413875361355e-11
seir_3_0,0.01,0.02,22,2,2,5.572413875361355e-11
seir_3_0,0.01,0.05,22,2,2,5.572413875361355e-11
seir_3_0,0.02,0.0001,22,2,2,5.572413875361355e-11
seir_3_0,0.02,0.001,22,2,2,5.572413875361355e-11
seir_3_0,0.02,0.005,22,2,2,5.572413875361355e-11
seir_3_0,0.02,0.01,22,2,2,5.572413875361355e-11
seir_3_0,0.02,0.02,22,2,2,5.572413875361355e-11
seir_3_0,0.02,0.05,22,2,2,5.572413875361355e-11
seir_3_0,0.05,0.0001,22,2,2,5.572413875361355e-11
seir_3_0,0.05,0.001,22,2,2,5.572413875361355e-11
seir_3_0,0.05,0.005,22,2,2,5.572413875361355e-11
seir_3_0,0.05,0.01,22,2,2,5.572413875361355e-11
seir_3_0,0.05,0.02,22,2,2,5.572413875361355e-11
seir_3_0,0.05,0.05,22,2,2,5.572413875361355e-11
vanderpol_6_1em2,0.0001,0.0001,97,79,1,0.00028239891993881496
vanderpol_6_1em2,0.0001,0.001,97,79,1,0.00028239891993881496
vanderpol_6_1em2,0.0001,0.005,97,79,1,0.00028239891993881496
vanderpol_6_1em2,0.0001,0.01,97,79,1,0.00028239891993881496
vanderpol_6_1em2,0.0001,0.02,97,79,1,0.00028239891993881496
vanderpol_6_1em2,0.0001,0.05,97,79,1,0.00028239891993881496
vanderpol_6_1em2,0.001,0.0001,97,73,1,0.00028239891993881496
vanderpol_6_1em2,0.001,0.001,97,73,1,0.00028239891993881496
vanderpol_6_1em2,0.001,0.005,97,73,1,0.00028239891993881496
vanderpol_6_1em2,0.001,0.01,97,73,1,0.00028239891993881496
vanderpol_6_1em2,0.001,0.02,97,73,1,0.00028239891993881496
vanderpol_6_1em2,0.001,0.05,97,73,1,0.00028239891993881496
vanderpol_6_1em2,0.005,0.0001,97,50,1,0.00028239891993881496
vanderpol_6_1em2,0.005,0.001,97,50,1,0.00028239891993881496
vanderpol_6_1em2,0.005,0.005,97,50,1,0.00028239891993881496
vanderpol_6_1em2,0.005,0.01,97,50,1,0.00028239891993881496
vanderpol_6_1em2,0.005,0.02,97,50,1,0.00028239891993881496
vanderpol_6_1em2,0.005,0.05,97,50,1,0.00028239891993881496
vanderpol_6_1em2,0.01,0.0001,97,39,1,0.00028239891993881496
vanderpol_6_1em2,0.01,0.001,97,39,1,0.00028239891993881496
vanderpol_6_1em2,0.01,0.005,97,39,1,0.00028239891993881496
vanderpol_6_1em2,0.01,0.01,97,39,1,0.00028239891993881496
vanderpol_6_1em2,0.01,0.02,97,39,1,0.00028239891993881496
vanderpol_6_1em2,0.01,0.05,97,39,1,0.00028239891993881496
vanderpol_6_1em2,0.02,0.0001,97,30,1,0.00028239891993881496
vanderpol_6_1em2,0.02,0.001,97,30,1,0.00028239891993881496
vanderpol_6_1em2,0.02,0.005,97,30,1,0.00028239891993881496
vanderpol_6_1em2,0.02,0.01,97,30,1,0.00028239891993881496
vanderpol_6_1em2,0.02,0.02,97,30,1,0.00028239891993881496
vanderpol_6_1em2,0.02,0.05,97,30,1,0.00028239891993881496
vanderpol_6_1em2,0.05,0.0001,97,20,1,0.00028239891993881496
vanderpol_6_1em2,0.05,0.001,97,20,1,0.00028239891993881496
vanderpol_6_1em2,0.05,0.005,97,20,1,0.00028239891993881496
vanderpol_6_1em2,0.05,0.01,97,20,1,0.00028239891993881496
vanderpol_6_1em2,0.05,0.02,97,20,1,0.00028239891993881496
vanderpol_6_1em2,0.05,0.05,97,20,1,0.00028239891993881496
quadrotor_9_1em4,0.0001,0.0001,86,64,55,0.0008200620993588995
quadrotor_9_1em4,0.0001,0.001,86,64,51,0.0008200620993588995
quadrotor_9_1em4,0.0001,0.005,86,64,40,0.0008200620993588995
quadrotor_9_1em4,0.0001,0.01,86,64,33,0.0008200620993588995
quadrotor_9_1em4,0.0001,0.02,86,64,25,0.00814037227151387
quadrotor_9_1em4,0.0001,0.05,86,64,17,0.00814037227151387
quadrotor_9_1em4,0.001,0.0001,86,57,53,0.0008200620993588995
quadrotor_9_1em4,0.001,0.001,86,57,51,0.0008200620993588995
quadrotor_9_1em4,0.001,0.005,86,57,40,0.0008200620993588995
quadrotor_9_1em4,0.001,0.01,86,57,33,0.0008200620993588995
quadrotor_9_1em4,0.001,0.02,86,57,25,0.00814037227151387
quadrotor_9_1em4,0.001,0.05,86,57,17,0.00814037227151387
