direction,threshold,id,system,run,noise_label,new_oracle,old_oracle
regression,0.01,mass_spring_damper_0_1em2,mass_spring_damper,odepe_v2_polish,1em2,0.020492065675220734,0.009020617158043238
regression,0.001,mass_spring_damper_0_1em4,mass_spring_damper,odepe_v2_polish,1em4,0.0010125239852422675,3.2391547244467605e-05
regression,0.01,mass_spring_damper_1_1em2,mass_spring_damper,odepe_v2_polish,1em2,0.011114571000777328,0.0012940214044116973
regression,0.01,mass_spring_damper_2_1em2,mass_spring_damper,odepe_v2_polish,1em2,0.027365059657629986,0.004175094315208587
regression,0.01,mass_spring_damper_4_1em2,mass_spring_damper,odepe_v2_polish,1em2,0.03712502745703153,0.0029504006631718882
regression,0.01,mass_spring_damper_6_1em2,mass_spring_damper,odepe_v2_polish,1em2,0.015523591012264892,0.0038955477559643047
regression,0.01,mass_spring_damper_8_1em2,mass_spring_damper,odepe_v2_polish,1em2,0.017048690174336318,0.009217527264646995
regression,0.01,mass_spring_damper_9_1em2,mass_spring_damper,odepe_v2_polish,1em2,0.0379640365265304,0.007783846974491784
regression,0.1,quadrotor_0_1em2,quadrotor,odepe_v2_polish,1em2,0.11259210975912236,0.032007136815030916
regression,0.001,quadrotor_0_1em4,quadrotor,odepe_v2_polish,1em4,0.0019091197354448154,0.00020384177183490173
regression,0.001,quadrotor_1_1em4,quadrotor,odepe_v2_polish,1em4,0.001677066754753748,0.00016400096862275628
regression,0.01,quadrotor_2_1em2,quadrotor,odepe_v2_polish,1em2,0.022518723065801084,0.00891349114898716
regression,0.1,quadrotor_3_1em2,quadrotor,odepe_v2_polish,1em2,0.4386551980490837,0.014996467752659618
regression,0.01,quadrotor_4_1em2,quadrotor,odepe_v2_polish,1em2,0.031965460032919675,0.0033516086790918993
regression,0.01,quadrotor_5_1em2,quadrotor,odepe_v2_polish,1em2,0.03966881041732791,0.009577433268229438
regression,0.01,quadrotor_6_1em2,quadrotor,odepe_v2_polish,1em2,0.11832297563082421,0.00453422326115487
regression,0.1,quadrotor_6_1em2,quadrotor,odepe_v2_polish,1em2,0.11832297563082421,0.00453422326115487
regression,0.001,quadrotor_6_1em4,quadrotor,odepe_v2_polish,1em4,0.0013906324539138882,0.00016884791256563077
regression,0.001,quadrotor_7_1em4,quadrotor,odepe_v2_polish,1em4,0.0010430723601871949,0.00023784334697405244
regression,0.1,quadrotor_8_1em2,quadrotor,odepe_v2_polish,1em2,0.34506817916254096,0.014742739565737876
regression,0.001,quadrotor_9_1em4,quadrotor,odepe_v2_polish,1em4,0.014658764740970501,0.0002749649124526986
regression,0.01,quadrotor_9_1em4,quadrotor,odepe_v2_polish,1em4,0.014658764740970501,0.0002749649124526986
regression,0.1,repressilator_0_1em2,repressilator,odepe_v2_polish,1em2,0.15213861994714034,0.011442941203705615
regression,0.001,repressilator_0_1em4,repressilator,odepe_v2_polish,1em4,0.013890942022436162,0.00021354170535306045
regression,0.01,repressilator_0_1em4,repressilator,odepe_v2_polish,1em4,0.013890942022436162,0.00021354170535306045
regression,0.001,repressilator_1_1em4,repressilator,odepe_v2_polish,1em4,0.011255982586801576,0.00010032571199978766
regression,0.01,repressilator_1_1em4,repressilator,odepe_v2_polish,1em4,0.011255982586801576,0.00010032571199978766
regression,0.001,repressilator_2_1em4,repressilator,odepe_v2_polish,1em4,0.0020484594374987125,0.0005193241239223032
regression,0.001,repressilator_3_1em4,repressilator,odepe_v2_polish,1em4,0.005225941967332487,0.000236547640035852
regression,0.1,repressilator_4_1em2,repressilator,odepe_v2_polish,1em2,0.11767552076511394,0.06014626044272792
regression,0.001,repressilator_4_1em4,repressilator,odepe_v2_polish,1em4,0.0027687654208699243,0.00022215993985733428
regression,0.001,repressilator_5_1em4,repressilator,odepe_v2_polish,1em4,0.00273856610524886,0.00013500866675524836
regression,0.001,repressilator_7_1em4,repressilator,odepe_v2_polish,1em4,0.0036282834893606687,0.00037487173494379694
