,index,id,true_states,true_parameters,time_start,time_end,time_count,name,non_identifiable,noise,finished,has_result,software,result,time
20,4,biohydrogenation_4_0,"{'x4': 0.268, 'x5': 0.203, 'x6': 0.352, 'x7': 0.391}","{'k5': 0.388, 'k6': 0.45, 'k7': 0.658, 'k8': 0.148, 'k9': 0.633, 'k10': 0.637}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,pe,,
21,4,biohydrogenation_4_0,"{'x4': 0.268, 'x5': 0.203, 'x6': 0.352, 'x7': 0.391}","{'k5': 0.388, 'k6': 0.45, 'k7': 0.658, 'k8': 0.148, 'k9': 0.633, 'k10': 0.637}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,odepe,,
22,4,biohydrogenation_4_0,"{'x4': 0.268, 'x5': 0.203, 'x6': 0.352, 'x7': 0.391}","{'k5': 0.388, 'k6': 0.45, 'k7': 0.658, 'k8': 0.148, 'k9': 0.633, 'k10': 0.637}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,sciml,,
23,4,biohydrogenation_4_0,"{'x4': 0.268, 'x5': 0.203, 'x6': 0.352, 'x7': 0.391}","{'k5': 0.388, 'k6': 0.45, 'k7': 0.658, 'k8': 0.148, 'k9': 0.633, 'k10': 0.637}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,iqm,,
24,4,biohydrogenation_4_0,"{'x4': 0.268, 'x5': 0.203, 'x6': 0.352, 'x7': 0.391}","{'k5': 0.388, 'k6': 0.45, 'k7': 0.658, 'k8': 0.148, 'k9': 0.633, 'k10': 0.637}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,amigo2,,
25,5,biohydrogenation_5_0,"{'x4': 0.67, 'x5': 0.29, 'x6': 0.546, 'x7': 0.47}","{'k5': 0.466, 'k6': 0.106, 'k7': 0.842, 'k8': 0.352, 'k9': 0.196, 'k10': 0.66}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,pe,,
26,5,biohydrogenation_5_0,"{'x4': 0.67, 'x5': 0.29, 'x6': 0.546, 'x7': 0.47}","{'k5': 0.466, 'k6': 0.106, 'k7': 0.842, 'k8': 0.352, 'k9': 0.196, 'k10': 0.66}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,odepe,,
27,5,biohydrogenation_5_0,"{'x4': 0.67, 'x5': 0.29, 'x6': 0.546, 'x7': 0.47}","{'k5': 0.466, 'k6': 0.106, 'k7': 0.842, 'k8': 0.352, 'k9': 0.196, 'k10': 0.66}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,sciml,,
28,5,biohydrogenation_5_0,"{'x4': 0.67, 'x5': 0.29, 'x6': 0.546, 'x7': 0.47}","{'k5': 0.466, 'k6': 0.106, 'k7': 0.842, 'k8': 0.352, 'k9': 0.196, 'k10': 0.66}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,iqm,,
29,5,biohydrogenation_5_0,"{'x4': 0.67, 'x5': 0.29, 'x6': 0.546, 'x7': 0.47}","{'k5': 0.466, 'k6': 0.106, 'k7': 0.842, 'k8': 0.352, 'k9': 0.196, 'k10': 0.66}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,amigo2,,
30,6,biohydrogenation_6_0,"{'x4': 0.757, 'x5': 0.178, 'x6': 0.77, 'x7': 0.177}","{'k5': 0.227, 'k6': 0.188, 'k7': 0.625, 'k8': 0.211, 'k9': 0.257, 'k10': 0.395}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,pe,,
31,6,biohydrogenation_6_0,"{'x4': 0.757, 'x5': 0.178, 'x6': 0.77, 'x7': 0.177}","{'k5': 0.227, 'k6': 0.188, 'k7': 0.625, 'k8': 0.211, 'k9': 0.257, 'k10': 0.395}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,odepe,,
32,6,biohydrogenation_6_0,"{'x4': 0.757, 'x5': 0.178, 'x6': 0.77, 'x7': 0.177}","{'k5': 0.227, 'k6': 0.188, 'k7': 0.625, 'k8': 0.211, 'k9': 0.257, 'k10': 0.395}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,sciml,,
33,6,biohydrogenation_6_0,"{'x4': 0.757, 'x5': 0.178, 'x6': 0.77, 'x7': 0.177}","{'k5': 0.227, 'k6': 0.188, 'k7': 0.625, 'k8': 0.211, 'k9': 0.257, 'k10': 0.395}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,iqm,,
34,6,biohydrogenation_6_0,"{'x4': 0.757, 'x5': 0.178, 'x6': 0.77, 'x7': 0.177}","{'k5': 0.227, 'k6': 0.188, 'k7': 0.625, 'k8': 0.211, 'k9': 0.257, 'k10': 0.395}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,amigo2,,
35,7,biohydrogenation_7_0,"{'x4': 0.464, 'x5': 0.747, 'x6': 0.792, 'x7': 0.617}","{'k5': 0.415, 'k6': 0.22, 'k7': 0.106, 'k8': 0.621, 'k9': 0.264, 'k10': 0.407}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,pe,,
36,7,biohydrogenation_7_0,"{'x4': 0.464, 'x5': 0.747, 'x6': 0.792, 'x7': 0.617}","{'k5': 0.415, 'k6': 0.22, 'k7': 0.106, 'k8': 0.621, 'k9': 0.264, 'k10': 0.407}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,odepe,,
37,7,biohydrogenation_7_0,"{'x4': 0.464, 'x5': 0.747, 'x6': 0.792, 'x7': 0.617}","{'k5': 0.415, 'k6': 0.22, 'k7': 0.106, 'k8': 0.621, 'k9': 0.264, 'k10': 0.407}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,sciml,,
38,7,biohydrogenation_7_0,"{'x4': 0.464, 'x5': 0.747, 'x6': 0.792, 'x7': 0.617}","{'k5': 0.415, 'k6': 0.22, 'k7': 0.106, 'k8': 0.621, 'k9': 0.264, 'k10': 0.407}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,iqm,,
39,7,biohydrogenation_7_0,"{'x4': 0.464, 'x5': 0.747, 'x6': 0.792, 'x7': 0.617}","{'k5': 0.415, 'k6': 0.22, 'k7': 0.106, 'k8': 0.621, 'k9': 0.264, 'k10': 0.407}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,amigo2,,
40,8,biohydrogenation_8_0,"{'x4': 0.728, 'x5': 0.75, 'x6': 0.406, 'x7': 0.473}","{'k5': 0.596, 'k6': 0.227, 'k7': 0.307, 'k8': 0.296, 'k9': 0.347, 'k10': 0.662}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,pe,,
41,8,biohydrogenation_8_0,"{'x4': 0.728, 'x5': 0.75, 'x6': 0.406, 'x7': 0.473}","{'k5': 0.596, 'k6': 0.227, 'k7': 0.307, 'k8': 0.296, 'k9': 0.347, 'k10': 0.662}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,odepe,,
42,8,biohydrogenation_8_0,"{'x4': 0.728, 'x5': 0.75, 'x6': 0.406, 'x7': 0.473}","{'k5': 0.596, 'k6': 0.227, 'k7': 0.307, 'k8': 0.296, 'k9': 0.347, 'k10': 0.662}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,sciml,,
43,8,biohydrogenation_8_0,"{'x4': 0.728, 'x5': 0.75, 'x6': 0.406, 'x7': 0.473}","{'k5': 0.596, 'k6': 0.227, 'k7': 0.307, 'k8': 0.296, 'k9': 0.347, 'k10': 0.662}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,iqm,,
44,8,biohydrogenation_8_0,"{'x4': 0.728, 'x5': 0.75, 'x6': 0.406, 'x7': 0.473}","{'k5': 0.596, 'k6': 0.227, 'k7': 0.307, 'k8': 0.296, 'k9': 0.347, 'k10': 0.662}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,amigo2,,
45,9,biohydrogenation_9_0,"{'x4': 0.154, 'x5': 0.327, 'x6': 0.147, 'x7': 0.652}","{'k5': 0.126, 'k6': 0.668, 'k7': 0.52, 'k8': 0.877, 'k9': 0.501, 'k10': 0.414}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,pe,,
46,9,biohydrogenation_9_0,"{'x4': 0.154, 'x5': 0.327, 'x6': 0.147, 'x7': 0.652}","{'k5': 0.126, 'k6': 0.668, 'k7': 0.52, 'k8': 0.877, 'k9': 0.501, 'k10': 0.414}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,odepe,,
