system,noise,instance,method,row_idx,n_returned,expected_M,expected_M_physical,orbit_type,assigned_orbit_index,max_rel_error,hit_at_50,distinct_branch_hits,duplicate_branch_fraction,branch_coverage_fraction,cluster_distinct_count
daisy_mamil4,0,81,odepe_shade,0,1,2,2,none,0,1.1372293699787684e-11,True,1,0.0,0.5,1
daisy_mamil4,0,82,odepe_v2_polish,0,2,2,2,none,0,2.9774011296957723,False,1,0.0,0.5,2
daisy_mamil4,0,82,odepe_v2_polish,1,2,2,2,none,0,3.1562473012373575e-10,True,1,0.0,0.5,2
daisy_mamil4,0,82,odepe_v2_nopolish,0,2,2,2,none,0,2.977401129805024,False,1,0.0,0.5,2
daisy_mamil4,0,82,odepe_v2_nopolish,1,2,2,2,none,0,2.496420454530199e-10,True,1,0.0,0.5,2
daisy_mamil4,0,82,amigo2,0,1,2,2,none,0,3.800626480199298e-09,True,1,0.0,0.5,1
daisy_mamil4,0,82,odepe_shade,0,1,2,2,none,0,2.9774011299432375,False,0,0.0,0.0,1
daisy_mamil4,0,83,odepe_v2_polish,0,2,2,2,none,0,4.242424242122961,False,1,0.0,0.5,2
daisy_mamil4,0,83,odepe_v2_polish,1,2,2,2,none,0,3.0113012252103334e-10,True,1,0.0,0.5,2
daisy_mamil4,0,83,odepe_v2_nopolish,-1,0,2,2,none,,,,0,,0.0,0
daisy_mamil4,0,83,amigo2,0,1,2,2,none,0,4.2424242105714285,False,0,0.0,0.0,1
daisy_mamil4,0,83,odepe_shade,0,1,2,2,none,0,1.1082254642588802e-11,True,1,0.0,0.5,1
daisy_mamil4,0,84,odepe_v2_polish,0,2,2,2,none,0,9.493228012202397e-09,True,2,0.0,1.0,2
daisy_mamil4,0,84,odepe_v2_polish,1,2,2,2,none,0,0.3677811454762362,True,2,0.0,1.0,2
daisy_mamil4,0,84,odepe_v2_nopolish,0,2,2,2,none,0,7.906224581641304e-09,True,2,0.0,1.0,2
daisy_mamil4,0,84,odepe_v2_nopolish,1,2,2,2,none,0,0.36778114706880594,True,2,0.0,1.0,2
daisy_mamil4,0,84,amigo2,0,1,2,2,none,0,0.36778119417805155,True,1,0.0,0.5,1
daisy_mamil4,0,84,odepe_shade,0,1,2,2,none,0,4.387152579755472e-11,True,1,0.0,0.5,1
daisy_mamil4,0,85,odepe_v2_polish,0,2,2,2,none,0,3.517094014182624,False,1,0.0,0.5,2
daisy_mamil4,0,85,odepe_v2_polish,1,2,2,2,none,0,2.7129046872213043e-09,True,1,0.0,0.5,2
daisy_mamil4,0,85,odepe_v2_nopolish,0,2,2,2,none,0,2.7033010801379404e-09,True,1,0.0,0.5,2
daisy_mamil4,0,85,odepe_v2_nopolish,1,2,2,2,none,0,3.5170940141775984,False,1,0.0,0.5,2
daisy_mamil4,0,85,amigo2,0,1,2,2,none,0,3.5170938816453687,False,0,0.0,0.0,1
daisy_mamil4,0,85,odepe_shade,0,1,2,2,none,0,1.589344752672125e-11,True,1,0.0,0.5,1
daisy_mamil4,0,86,odepe_v2_polish,0,2,2,2,none,0,7.124256668930502e-10,True,1,0.0,0.5,2
daisy_mamil4,0,86,odepe_v2_polish,1,2,2,2,none,0,1.523809523808291,False,1,0.0,0.5,2
daisy_mamil4,0,86,odepe_v2_nopolish,0,2,2,2,none,0,7.123543208300895e-10,True,1,0.0,0.5,2
daisy_mamil4,0,86,odepe_v2_nopolish,1,2,2,2,none,0,1.5238095238085032,False,1,0.0,0.5,2
daisy_mamil4,0,86,amigo2,0,1,2,2,none,0,1.9904666056417362e-08,True,1,0.0,0.5,1
daisy_mamil4,0,86,odepe_shade,0,1,2,2,none,0,3.734548283154173e-12,True,1,0.0,0.5,1
daisy_mamil4,0,87,odepe_v2_polish,0,2,2,2,none,0,6.321622190943777e-09,True,1,0.0,0.5,2
daisy_mamil4,0,87,odepe_v2_polish,1,2,2,2,none,0,1.708833157691926,False,1,0.0,0.5,2
daisy_mamil4,0,87,odepe_v2_nopolish,0,2,2,2,none,0,6.213448542787766e-09,True,1,0.0,0.5,2
daisy_mamil4,0,87,odepe_v2_nopolish,1,2,2,2,none,0,1.708833157821352,False,1,0.0,0.5,2
daisy_mamil4,0,87,amigo2,0,1,2,2,none,0,6.500725106648215e-09,True,1,0.0,0.5,1
daisy_mamil4,0,87,odepe_shade,0,1,2,2,none,0,1.7088331515807025,False,0,0.0,0.0,1
daisy_mamil4,0,88,odepe_v2_polish,0,2,2,2,none,0,4.305265157474166,False,1,0.0,0.5,2
daisy_mamil4,0,88,odepe_v2_polish,1,2,2,2,none,0,1.999578637463572e-06,True,1,0.0,0.5,2
daisy_mamil4,0,88,odepe_v2_nopolish,0,2,2,2,none,0,4.305265396429815,False,1,0.0,0.5,2
daisy_mamil4,0,88,odepe_v2_nopolish,1,2,2,2,none,0,2.2385341919298925e-06,True,1,0.0,0.5,2
daisy_mamil4,0,88,amigo2,0,1,2,2,none,0,2.90119647793878e-06,True,1,0.0,0.5,1
daisy_mamil4,0,88,odepe_shade,0,1,2,2,none,0,4.102394623296486,False,0,0.0,0.0,1
daisy_mamil4,0,89,odepe_v2_polish,0,2,2,2,none,0,4.913321733595361e-10,True,1,0.0,0.5,2
daisy_mamil4,0,89,odepe_v2_polish,1,2,2,2,none,0,4.20249221004159,False,1,0.0,0.5,2
daisy_mamil4,0,89,odepe_v2_nopolish,0,2,2,2,none,0,4.202492210070855,False,1,0.0,0.5,2
daisy_mamil4,0,89,odepe_v2_nopolish,1,2,2,2,none,0,4.889804830884462e-10,True,1,0.0,0.5,2
daisy_mamil4,0,89,amigo2,0,1,2,2,none,0,4.202492239248468,False,0,0.0,0.0,1
daisy_mamil4,0,89,odepe_shade,0,1,2,2,none,0,4.4924381675010795e-13,True,1,0.0,0.5,1
seir,0,190,odepe_v2_polish,0,2,2,2,none,0,0.7730496445309413,False,1,0.0,0.5,2
seir,0,190,odepe_v2_polish,1,2,2,2,none,0,1.646566126444412e-09,True,1,0.0,0.5,2
seir,0,190,odepe_v2_nopolish,0,2,2,2,none,0,0.7730496445143901,False,1,0.0,0.5,2
seir,0,190,odepe_v2_nopolish,1,2,2,2,none,0,1.640752235973283e-09,True,1,0.0,0.5,2
seir,0,190,amigo2,0,1,2,2,none,0,1.0673436615116578e-08,True,1,0.0,0.5,1
seir,0,190,odepe_shade,0,1,2,2,none,0,0.7730496453881699,False,0,0.0,0.0,1
seir,0,191,odepe_v2_polish,0,2,2,2,none,0,4.7771882603588375e-11,True,1,0.0,0.5,2
seir,0,191,odepe_v2_polish,1,2,2,2,none,0,2.975292610943618,False,1,0.0,0.5,2
seir,0,191,odepe_v2_nopolish,0,2,2,2,none,0,2.9752934233877917,False,1,0.0,0.5,2
seir,0,191,odepe_v2_nopolish,1,2,2,2,none,0,1.8511222936445915e-07,True,1,0.0,0.5,2
seir,0,191,amigo2,0,1,2,2,none,0,1.297757798659824e-07,True,1,0.0,0.5,1
seir,0,191,odepe_shade,0,1,2,2,none,0,3.5942269459833e-11,True,1,0.0,0.5,1
seir,0,192,odepe_v2_polish,0,2,2,2,none,0,0.2882274062438618,True,2,0.0,1.0,2
seir,0,192,odepe_v2_polish,1,2,2,2,none,0,8.397388699666893e-09,True,2,0.0,1.0,2
seir,0,192,odepe_v2_nopolish,0,2,2,2,none,0,0.2882274004420097,True,2,0.0,1.0,2
seir,0,192,odepe_v2_nopolish,1,2,2,2,none,0,8.300031725066473e-09,True,2,0.0,1.0,2
seir,0,192,amigo2,0,1,2,2,none,0,0.2882274209776511,True,1,0.0,0.5,1
seir,0,192,odepe_shade,0,1,2,2,none,0,0.2882274062299782,True,1,0.0,0.5,1
seir,0,193,odepe_v2_polish,0,2,2,2,none,0,0.0918918552559375,True,2,0.0,1.0,2
seir,0,193,odepe_v2_polish,1,2,2,2,none,0,7.992967691225922e-09,True,2,0.0,1.0,2
seir,0,193,odepe_v2_nopolish,0,2,2,2,none,0,8.736587622939029e-09,True,2,0.0,1.0,2
seir,0,193,odepe_v2_nopolish,1,2,2,2,none,0,0.09189184511337119,True,2,0.0,1.0,2
seir,0,193,amigo2,0,1,2,2,none,0,1.0953952481915657e-07,True,1,0.0,0.5,1
seir,0,193,odepe_shade,0,1,2,2,none,0,5.1795702230163586e-11,True,1,0.0,0.5,1
seir,0,194,odepe_v2_polish,0,2,2,2,none,0,0.018936736411383954,True,2,0.0,1.0,2
seir,0,194,odepe_v2_polish,1,2,2,2,none,0,0.02928762086322799,True,2,0.0,1.0,2
seir,0,194,odepe_v2_nopolish,0,2,2,2,none,0,0.02120198170096682,True,2,0.0,1.0,2
seir,0,194,odepe_v2_nopolish,1,2,2,2,none,0,0.030651463216406223,True,2,0.0,1.0,2
seir,0,194,amigo2,0,1,2,2,none,0,0.01089398537958758,True,1,0.0,0.5,1
seir,0,194,odepe_shade,0,1,2,2,none,0,0.218247041110086,True,1,0.0,0.5,1
seir,0,195,odepe_v2_polish,0,2,2,2,none,0,3.206390377089071e-13,True,1,0.0,0.5,2
seir,0,195,odepe_v2_polish,1,2,2,2,none,0,13.786647121620083,False,1,0.0,0.5,2
seir,0,195,odepe_v2_nopolish,0,2,2,2,none,0,7.237716603493695e-08,True,1,0.0,0.5,2
seir,0,195,odepe_v2_nopolish,1,2,2,2,none,0,13.786646737583782,False,1,0.0,0.5,2
seir,0,195,amigo2,0,1,2,2,none,0,1.155882541422808e-08,True,1,0.0,0.5,1
seir,0,195,odepe_shade,0,1,2,2,none,0,14.243902439024392,False,0,0.0,0.0,1
seir,0,196,odepe_v2_polish,0,2,2,2,none,0,4.341171586634686e-08,True,1,0.0,0.5,2
seir,0,196,odepe_v2_polish,1,2,2,2,none,0,1.0088676023248513,False,1,0.0,0.5,2
seir,0,196,odepe_v2_nopolish,0,2,2,2,none,0,3.527304970357766,False,1,0.0,0.5,2
seir,0,196,odepe_v2_nopolish,1,2,2,2,none,0,3.7789241006105296e-06,True,1,0.0,0.5,2
seir,0,196,amigo2,0,1,2,2,none,0,0.03741952590317585,True,1,0.0,0.5,1
seir,0,196,odepe_shade,0,1,2,2,none,0,1.1220243397217242,False,0,0.0,0.0,1
seir,0,197,odepe_v2_polish,0,2,2,2,none,0,1.2855469680078249,False,1,0.0,0.5,2
seir,0,197,odepe_v2_polish,1,2,2,2,none,0,3.1783638813005204e-08,True,1,0.0,0.5,2
seir,0,197,odepe_v2_nopolish,0,2,2,2,none,0,1.2855469680098304,False,1,0.0,0.5,2
seir,0,197,odepe_v2_nopolish,1,2,2,2,none,0,3.17849818386098e-08,True,1,0.0,0.5,2
seir,0,197,amigo2,0,1,2,2,none,0,1.2855481067517291,False,0,0.0,0.0,1
seir,0,197,odepe_shade,0,1,2,2,none,0,4.4134997121225106e-09,True,1,0.0,0.5,1
seir,0,198,odepe_v2_polish,0,2,2,2,none,0,4.717482364118147e-05,True,1,0.0,0.5,2
seir,0,198,odepe_v2_polish,1,2,2,2,none,0,1.229647244007049,False,1,0.0,0.5,2
seir,0,198,odepe_v2_nopolish,0,2,2,2,none,0,4.5902517531242655,False,1,0.0,0.5,2
seir,0,198,odepe_v2_nopolish,1,2,2,2,none,0,4.7191396639375684e-05,True,1,0.0,0.5,2
seir,0,198,amigo2,0,1,2,2,none,0,1.9454522177586102,False,0,0.0,0.0,1
seir,0,198,odepe_shade,0,1,2,2,none,0,1.2296095105216254,False,0,0.0,0.0,1
seir,0,199,odepe_v2_polish,0,2,2,2,none,0,1.1578608811001086e-11,True,2,0.0,1.0,2
seir,0,199,odepe_v2_polish,1,2,2,2,none,0,0.10140562250111282,True,2,0.0,1.0,2
seir,0,199,odepe_v2_nopolish,0,2,2,2,none,0,0.1014056455813283,True,2,0.0,1.0,2
seir,0,199,odepe_v2_nopolish,1,2,2,2,none,0,1.940355505014428e-08,True,2,0.0,1.0,2
seir,0,199,amigo2,0,1,2,2,none,0,1.919655871477017e-07,True,1,0.0,0.5,1
seir,0,199,odepe_shade,0,1,2,2,none,0,4.999689610230951e-12,True,1,0.0,0.5,1
slow_fast,0,200,odepe_v2_polish,0,2,2,1,none,0,5.044465726967477e-14,True,1,0.0,1.0,2
slow_fast,0,200,odepe_v2_polish,1,2,2,1,none,0,32.883061658402525,False,1,0.0,1.0,2
slow_fast,0,200,odepe_v2_nopolish,0,2,2,1,none,0,32.883061658402525,False,1,0.0,1.0,2
slow_fast,0,200,odepe_v2_nopolish,1,2,2,1,none,0,3.7731589228257125e-13,True,1,0.0,1.0,2
slow_fast,0,200,amigo2,0,1,2,1,none,0,2.997674137728415e-10,True,1,0.0,1.0,1
