system,estimator,noise_label,cell_id,n_rows,top1_err,oracle_err,oracle_rank,gap_ratio,is_mult2,row0_is_alt_branch
bicycle_model,odepe_v2_polish,1em8,bicycle_model_0_1em8,20,2.4244382783834317e-06,2.4244382783834317e-06,0,1.0,False,False
bicycle_model,odepe_v2_polish,0,bicycle_model_1_0,20,7.944895808911507e-06,1.0054117600626417e-12,1,7902131.369953842,False,False
bicycle_model,odepe_v2_polish,1em2,bicycle_model_1_1em2,20,0.0006380302961482219,0.0005318904635913802,1,1.19955205032287,False,False
bicycle_model,odepe_v2_polish,1em4,bicycle_model_1_1em4,20,4.6730041503940186e-05,4.6730041503940186e-05,0,1.0,False,False
bicycle_model,odepe_v2_polish,1em6,bicycle_model_1_1em6,20,1.8048107175845307e-05,1.8048107175845307e-05,0,1.0,False,False
bicycle_model,odepe_v2_polish,1em8,bicycle_model_1_1em8,20,7.944895808911507e-06,2.2876829592811394e-06,1,3.472900725460681,False,False
bicycle_model,odepe_v2_polish,0,bicycle_model_2_0,20,7.655885484520515e-06,1.5132463642335078e-12,1,5059245.913601376,False,False
bicycle_model,odepe_v2_polish,1em2,bicycle_model_2_1em2,20,0.0009620809479003156,0.0009282384382670795,1,1.0364588539302642,False,False
bicycle_model,odepe_v2_polish,1em4,bicycle_model_2_1em4,20,4.1412154981132084e-05,4.1412154981132084e-05,0,1.0,False,False
bicycle_model,odepe_v2_polish,1em6,bicycle_model_2_1em6,20,1.2212329440609694e-05,5.104035373978041e-06,2,2.392681191606145,False,False
bicycle_model,odepe_v2_polish,1em8,bicycle_model_2_1em8,20,7.655885484520515e-06,4.010096800264392e-07,1,19.09152288796557,False,False
bicycle_model,odepe_v2_polish,0,bicycle_model_3_0,20,0.0002625179986884902,1.0205559681931135e-12,1,257230379.19544604,False,False
bicycle_model,odepe_v2_polish,1em2,bicycle_model_3_1em2,20,0.025040050459390804,0.016779878713788852,10,1.4922664750141585,False,False
bicycle_model,odepe_v2_polish,1em4,bicycle_model_3_1em4,20,0.001042781181893293,0.001042781181893293,0,1.0,False,False
bicycle_model,odepe_v2_polish,1em6,bicycle_model_3_1em6,20,0.0007294010123734394,5.771880369454499e-05,12,12.637147093926604,False,False
bicycle_model,odepe_v2_polish,1em8,bicycle_model_3_1em8,20,0.0002609587063753784,2.0873453816549198e-05,1,12.5019418764556,False,False
bicycle_model,odepe_v2_polish,0,bicycle_model_4_0,20,3.3030544755140418e-06,1.520906268950358e-11,1,217176.72830644718,False,False
bicycle_model,odepe_v2_polish,1em2,bicycle_model_4_1em2,20,0.009864093613450467,0.009864093613450467,0,1.0,False,False
bicycle_model,odepe_v2_polish,1em4,bicycle_model_4_1em4,20,0.0003661517679257022,0.0003661517679257022,0,1.0,False,False
bicycle_model,odepe_v2_polish,1em6,bicycle_model_4_1em6,20,9.37976976381509e-05,9.326462501317952e-05,1,1.0057157000834565,False,False
bicycle_model,odepe_v2_polish,1em8,bicycle_model_4_1em8,20,3.3030544755140418e-06,1.3370005718931792e-06,1,2.4704959331744716,False,False
bicycle_model,odepe_v2_polish,0,bicycle_model_5_0,20,4.219682249280033e-06,3.227260099864531e-11,1,130751.22917601716,False,False
bicycle_model,odepe_v2_polish,1em2,bicycle_model_5_1em2,20,0.006786079050224499,0.005557220672892613,5,1.2211282311184968,False,False
bicycle_model,odepe_v2_polish,1em4,bicycle_model_5_1em4,20,0.00011394378986774069,0.00011394378986774069,0,1.0,False,False
bicycle_model,odepe_v2_polish,1em6,bicycle_model_5_1em6,20,2.580500663604603e-05,2.580500663604603e-05,0,1.0,False,False
bicycle_model,odepe_v2_polish,1em8,bicycle_model_5_1em8,20,4.219682249280033e-06,4.621534822799838e-07,1,9.13047810104706,False,False
bicycle_model,odepe_v2_polish,0,bicycle_model_6_0,20,2.050515237159781e-06,3.3295937973383028e-12,1,615845.4640319715,False,False
bicycle_model,odepe_v2_polish,1em2,bicycle_model_6_1em2,20,0.0014213873561184287,0.0014213873561184287,0,1.0,False,False
bicycle_model,odepe_v2_polish,1em4,bicycle_model_6_1em4,20,0.0001310736446056809,0.0001310736446056809,0,1.0,False,False
bicycle_model,odepe_v2_polish,1em6,bicycle_model_6_1em6,20,3.9332525391291415e-05,3.9332525391291415e-05,0,1.0,False,False
bicycle_model,odepe_v2_polish,1em8,bicycle_model_6_1em8,20,2.050515237159781e-06,1.1290763419150628e-06,1,1.816099727748999,False,False
bicycle_model,odepe_v2_polish,0,bicycle_model_7_0,20,0.006104223506966847,4.007169739212978e-10,1,15233254.152507493,False,False
