,index,id,true_states,true_parameters,time_start,time_end,time_count,name,noise,finished,has_result,software,result,time
26,5,vanderpol_1_1em8,"{'x1': 0.45, 'x2': 0.813}","{'a': 0.439, 'b': 0.617}",-1.0,1.0,1001,vanderpol,1e-08,True,True,odepe,"[['a', '0.43898155383743936', '0.43899945989829303', '0.43899995964532534'], ['b', '0.6170110550305918', '0.6169879812392453', '0.6170001079934033'], ['x1', '0.4500139320313424', '0.44999941634783647', '0.4500000297046469'], ['x2', '0.8130053990064727', '0.8130045904186256', '0.8129999872803272']]",107.93800568580627
27,5,vanderpol_1_1em8,"{'x1': 0.45, 'x2': 0.813}","{'a': 0.439, 'b': 0.617}",-1.0,1.0,1001,vanderpol,1e-08,True,True,sciml,"[['a', '0.43899999979600496'], ['b', '0.6169999972765299'], ['x1', '0.4499999996069287'], ['x2', '0.8130000003698105']]",109.90910983085632
28,5,vanderpol_1_1em8,"{'x1': 0.45, 'x2': 0.813}","{'a': 0.439, 'b': 0.617}",-1.0,1.0,1001,vanderpol,1e-08,False,False,iqm,,
29,5,vanderpol_1_1em8,"{'x1': 0.45, 'x2': 0.813}","{'a': 0.439, 'b': 0.617}",-1.0,1.0,1001,vanderpol,1e-08,False,False,amigo2,,
30,6,fitzhugh_nagumo_0_1em8,"{'VV': 0.523, 'R': 0.554}","{'g': 0.871, 'a': 0.407, 'b': 0.733}",-1.0,1.0,1001,fitzhugh_nagumo,1e-08,True,True,pe,"[['g', '0.8736249738465403'], ['a', '0.4036863575319685'], ['b', '0.738417342875092'], ['VV', '0.5239721238090117'], ['R', '0.5475024042500989']]",109.85072422027588
31,6,fitzhugh_nagumo_0_1em8,"{'VV': 0.523, 'R': 0.554}","{'g': 0.871, 'a': 0.407, 'b': 0.733}",-1.0,1.0,1001,fitzhugh_nagumo,1e-08,True,True,odepe,"[['g', '-0.015261175519411065', '-0.025472749177824612', '0.890044472582983', '0.8736249739938607', '0.8708062866187306', '0.6570241805788626'], ['a', '47.98468779538639', '9.839320892251667', '0.3392945240412571', '0.4036863572939768', '0.40724083685771956', '1.1582223192728518'], ['b', '-0.6580146566281989', '-0.17243899219874328', '0.7503571314198917', '0.7384173431582842', '0.7326054664595141', '0.5377527156787429'], ['VV', '1.0748078274902169', '0.92845345213172', '0.5118498911662684', '0.5239721238713722', '0.5229320974628747', '0.5928324951022729'], ['R', '-71.25206926531722', '-50.607421091465305', '0.5100341589023586', '0.5475024038624529', '0.554473466976476', '1.2796440095603303']]",150.58309149742126
32,6,fitzhugh_nagumo_0_1em8,"{'VV': 0.523, 'R': 0.554}","{'g': 0.871, 'a': 0.407, 'b': 0.733}",-1.0,1.0,1001,fitzhugh_nagumo,1e-08,True,True,sciml,"[['g', '0.8709999965120444'], ['a', '0.4070000216342895'], ['b', '0.7330000027260319'], ['VV', '0.5229999985316629'], ['R', '0.5540000132037635']]",115.86009049415588
33,6,fitzhugh_nagumo_0_1em8,"{'VV': 0.523, 'R': 0.554}","{'g': 0.871, 'a': 0.407, 'b': 0.733}",-1.0,1.0,1001,fitzhugh_nagumo,1e-08,False,False,iqm,,
34,6,fitzhugh_nagumo_0_1em8,"{'VV': 0.523, 'R': 0.554}","{'g': 0.871, 'a': 0.407, 'b': 0.733}",-1.0,1.0,1001,fitzhugh_nagumo,1e-08,False,False,amigo2,,
35,7,fitzhugh_nagumo_1_1em8,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,1e-08,True,False,pe,,97.28197765350342
