Unnamed: 0,index,id,true_states,true_parameters,time_start,time_end,time_count,name,non_identifiable,noise,finished,has_result,run,software,result,time
20,5,aircraft_pitch_5_0,"{'theta': 0.645, 'q': 0.388, 'alpha': 0.45}","{'M_alpha': 0.594, 'M_q': 0.59, 'M_delta_e': 0.594, 'Z_alpha': 0.855}",0.0,10.0,1501,aircraft_pitch,[],0.0,True,True,odepe_polish,odepe,"[['M_alpha', '0.5939999880742524'], ['M_q', '0.5900000185937782'], ['M_delta_e', '0.5940000074546586'], ['Z_alpha', '0.8549991834273565'], ['theta', '1.4161851291979566'], ['q', '0.3880000010767154'], ['alpha', '0.45000002089181607']]",3179.084916114807
21,5,aircraft_pitch_5_0,"{'theta': 0.645, 'q': 0.388, 'alpha': 0.45}","{'M_alpha': 0.594, 'M_q': 0.59, 'M_delta_e': 0.594, 'Z_alpha': 0.855}",0.0,10.0,1501,aircraft_pitch,[],0.0,True,True,odepe_nopolish,odepe,"[['M_alpha', '0.5940013790986414'], ['M_q', '0.5900522757044346'], ['M_delta_e', '0.5940185730895464'], ['Z_alpha', '0.8505471438952681'], ['theta', '3.2445316895949516'], ['q', '0.3882805165718188'], ['alpha', '0.44997742754861025']]",2767.2883043289185
22,5,aircraft_pitch_5_0,"{'theta': 0.645, 'q': 0.388, 'alpha': 0.45}","{'M_alpha': 0.594, 'M_q': 0.59, 'M_delta_e': 0.594, 'Z_alpha': 0.855}",0.0,10.0,1501,aircraft_pitch,[],0.0,True,True,sciml_run,sciml,"[['M_alpha', '0.5940000026648558'], ['M_q', '0.5899999988552376'], ['M_delta_e', '0.5940000075272638'], ['Z_alpha', '0.8550011919136784'], ['theta', '5.000004999350229'], ['q', '0.38799998854068113'], ['alpha', '0.4499999920415602']]",1813.658338069916
23,5,aircraft_pitch_5_0,"{'theta': 0.645, 'q': 0.388, 'alpha': 0.45}","{'M_alpha': 0.594, 'M_q': 0.59, 'M_delta_e': 0.594, 'Z_alpha': 0.855}",0.0,10.0,1501,aircraft_pitch,[],0.0,True,True,amigo2_run,amigo2,"[['M_alpha', '5.9400e-01'], ['M_q', '5.9000e-01'], ['M_delta_e', '5.9400e-01'], ['Z_alpha', '8.5500e-01'], ['theta', '1.3054e+00'], ['q', '3.8800e-01'], ['alpha', '4.5000e-01']]",514.6960475444794
24,6,aircraft_pitch_6_0,"{'theta': 0.268, 'q': 0.203, 'alpha': 0.352}","{'M_alpha': 0.658, 'M_q': 0.148, 'M_delta_e': 0.633, 'Z_alpha': 0.637}",0.0,10.0,1501,aircraft_pitch,[],0.0,True,True,odepe_polish,odepe,"[['M_alpha', '0.6580000000024451'], ['M_q', '0.14800000001112987'], ['M_delta_e', '0.6330000000117733'], ['Z_alpha', '0.6369999988342008'], ['theta', '-3.3652018842876634'], ['q', '0.20300000006852698'], ['alpha', '0.35199999999586895']]",2619.7714142799377
25,6,aircraft_pitch_6_0,"{'theta': 0.268, 'q': 0.203, 'alpha': 0.352}","{'M_alpha': 0.658, 'M_q': 0.148, 'M_delta_e': 0.633, 'Z_alpha': 0.637}",0.0,10.0,1501,aircraft_pitch,[],0.0,True,True,odepe_nopolish,odepe,"[['M_alpha', '0.6580007646120297'], ['M_q', '0.14800039387959743'], ['M_delta_e', '0.6330028295588902'], ['Z_alpha', '0.6370733541146374'], ['theta', '-2.8244078814655498'], ['q', '0.20299214384353492'], ['alpha', '0.3519935524361134']]",2352.123454093933
26,6,aircraft_pitch_6_0,"{'theta': 0.268, 'q': 0.203, 'alpha': 0.352}","{'M_alpha': 0.658, 'M_q': 0.148, 'M_delta_e': 0.633, 'Z_alpha': 0.637}",0.0,10.0,1501,aircraft_pitch,[],0.0,True,True,sciml_run,sciml,"[['M_alpha', '0.6580000003935077'], ['M_q', '0.14799999697288638'], ['M_delta_e', '0.6330000010469149'], ['Z_alpha', '0.6370004581853109'], ['theta', '5.000004999026934'], ['q', '0.20299997776288586'], ['alpha', '0.35199999646673075']]",1815.2992625236511
27,6,aircraft_pitch_6_0,"{'theta': 0.268, 'q': 0.203, 'alpha': 0.352}","{'M_alpha': 0.658, 'M_q': 0.148, 'M_delta_e': 0.633, 'Z_alpha': 0.637}",0.0,10.0,1501,aircraft_pitch,[],0.0,True,True,amigo2_run,amigo2,"[['M_alpha', '6.5800e-01'], ['M_q', '1.4800e-01'], ['M_delta_e', '6.3300e-01'], ['Z_alpha', '6.3700e-01'], ['theta', '5.2125e+00'], ['q', '2.0300e-01'], ['alpha', '3.5200e-01']]",540.5243728160858
28,7,aircraft_pitch_7_0,"{'theta': 0.182, 'q': 0.267, 'alpha': 0.229}","{'M_alpha': 0.391, 'M_q': 0.556, 'M_delta_e': 0.451, 'Z_alpha': 0.891}",0.0,10.0,1501,aircraft_pitch,[],0.0,True,True,odepe_polish,odepe,"[['M_alpha', '0.3909999986178055'], ['M_q', '0.5560000207851883'], ['M_delta_e', '0.4510000147321801'], ['Z_alpha', '0.8909997242922008'], ['theta', '3.2939447493693006'], ['q', '0.26700002205853657'], ['alpha', '0.22899996573745196']]",2562.8098895549774
29,7,aircraft_pitch_7_0,"{'theta': 0.182, 'q': 0.267, 'alpha': 0.229}","{'M_alpha': 0.391, 'M_q': 0.556, 'M_delta_e': 0.451, 'Z_alpha': 0.891}",0.0,10.0,1501,aircraft_pitch,[],0.0,True,True,odepe_nopolish,odepe,"[['M_alpha', '0.391025913304579'], ['M_q', '0.555868866466048'], ['M_delta_e', '0.4509113366235407'], ['Z_alpha', '0.8917794293177512'], ['theta', '2.177548702636523'], ['q', '0.2671399941521492'], ['alpha', '0.22906292164811004']]",2405.848405122757
